CGAC AGENCY CODE,FPDS DEPARTMENT ID,AGENCY NAME,SUB TIER CODE,SUB TIER NAME
002,0000,THE LEGISLATIVE BRANCH,0001,"CONGRESS, GENERALLY, NO ADDITIONAL SPECIFICATION AVAILABLE"
002,0000,THE LEGISLATIVE BRANCH,0099,JOINT HOUSE AND SENATE ENTITIES
002,0000,THE LEGISLATIVE BRANCH,0363,FEDERAL LIBRARY & INFORMATION CENTER COMMITTEE
002,0000,THE LEGISLATIVE BRANCH,0904,OFFICE OF COMPLIANCE
002,0000,THE LEGISLATIVE BRANCH,0929,U.S. CAPITOL PRESERVATION COMMISSION
002,0000,THE LEGISLATIVE BRANCH,0962,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE
000,0010,"SENATE, THE",0010,"SENATE, THE"
000,0050,"HOUSE OF REPRESENTATIVES, THE",0050,HOUSE OF REPRESENTATIVES ZAAA
001,0100,ARCHITECT OF THE CAPITOL,0100,ARCHITECT OF THE CAPITOL
003,0300,LIBRARY OF CONGRESS,0300,LIBRARY OF CONGRESS
003,0300,LIBRARY OF CONGRESS,0361,LIBRARY OF CONGRESS TRUST FUND BOARD
003,0300,LIBRARY OF CONGRESS,0362,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE
004,0400,GOVERNMENT PRINTING OFFICE,0400,GOVERNMENT PRINTING OFFICE
005,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0500,GOVERNMENT ACCOUNTABILITY OFFICE
005,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0501,COMPTROLLER GENERAL OF THE UNITED STATES
005,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0559,"GAO, EXCEPT COMPTROLLER GENERAL"
008,0800,CONGRESSIONAL BUDGET OFFICE,0800,CONGRESSIONAL BUDGET OFFICE
009,0902,BOTANIC GARDEN,0902,BOTANIC GARDEN
009,0945,OPEN WORLD LEADERSHIP CENTER,0945,OPEN WORLD LEADERSHIP CENTER
010,1000,THE JUDICIAL BRANCH,1000,THE JUDICIAL BRANCH
010,1000,THE JUDICIAL BRANCH,1030,UNITED STATES SENTENCING COMMISSION
010,1001,SUPREME COURT OF THE UNITED STATES,1001,SUPREME COURT OF THE UNITED STATES
010,1001,SUPREME COURT OF THE UNITED STATES,1050,CHIEF JUSITCE OF THE UNITED STATES
010,1001,SUPREME COURT OF THE UNITED STATES,1051,ASSOCIATE JUSTICES OF THE SUPREME COURT
010,1001,SUPREME COURT OF THE UNITED STATES,1059,"SUPREME COURT, EXCEPT JUSTICES"
010,1001,SUPREME COURT OF THE UNITED STATES,1060,JUDICIAL CONFERENCE OF THE UNITED STATES
010,1002,U.S. COURTS OF APPEALS-JUDICIAL CIRCUITS (EXCEPT FED CIR),1002,U.S. COURTS OF APPEALS-JUDICIAL CIRCUITS (EXCEPT FED CIR)
010,1003,U.S. COURT OF APPEALS FOR THE FEDERAL CIRCUIT,1003,U.S. COURT OF APPEALS FOR THE FEDERAL CIRCUIT
010,1004,U.S. COURT OF INTERNATIONAL TRADE,1004,U.S. COURT OF INTERNATIONAL TRADE
010,1027,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,1027,ADMINISTRATIVE OFFICE OF THE U.S. COURTS
010,1028,FEDERAL JUDICIAL CENTER,1028,FEDERAL JUDICIAL CENTER
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1100,EXECUTIVE OFFICE OF THE PRESIDENT
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1101,PRESIDENT OF THE UNITED STATES
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1102,NATIONAL SECURITY COUNCIL
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1103,OFFICE OF MANAGEMENT AND BUDGET
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1105,OFFICE OF ADMINISTRATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1109,OFFICE OF THE UNITED STATES TRADE REPRESENTATIVE
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1110,OFFICE OF POLICY DEVELOPMENT
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1112,OFFICE OF SCIENCE AND TECHNOLOGY POLICY
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1113,COUNCIL OF ECONOMIC ADVISORS
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1117,WHITE HOUSE OFFICE
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1118,EXECUTIVE RESIDENCE AT THE WHITE HOUSE
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1119,COUNCIL ON ENVIRONMENTAL QUALITY
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1120,NATIONAL CRITICAL MATERIALS COUNCIL
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1121,"DIRECTOR, OMB"
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1123,WHITE HOUSE CONFERENCE ON INDIAN EDUCATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1127,OFFICE OF THE NATIONAL DRUG CONTROL POLICY
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1129,"OMB, EXCEPT DIRECTOR"
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1130,NATIONAL SPACE COUNCIL
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1140,PRESIDENT'S COUNCIL ON SUSTAINABLE DEVELOPMENT
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1141,AFRICAN DEVELOPMENT FOUNDATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1143,INTER-AMERICAN FOUNDATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1148,OFFICE OF HOMELAND SECURITY
